message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.680769445Z
"2026-07-08 11:18:01,944 - httpx - INFO - HTTP Request: POST https://api.telegram.org/botuhcsztbzapetagsytqm7pwanry4nskr1/getMe ""HTTP/1.1 404 Not Found""",error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947160424Z
==================================================,info,"{""level"":""info""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947163234Z
📊 MOCK_MODE: False,info,"{""level"":""info""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947166314Z
   🔴 أسعار حقيقية,info,"{""level"":""info""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947168504Z
==================================================,info,"{""level"":""info""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947170624Z
🚀 البوت شغّال الآن...,info,"{""level"":""info""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947173064Z
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947175804Z
"  File ""/usr/local/lib/python3.11/site-packages/telegram/_bot.py"", line 777, in initialize",error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947178004Z
    await self.get_me(),error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947180344Z
"  File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_extbot.py"", line 1920, in get_me",error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947182434Z
    return await super().get_me(,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947184454Z
           ^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947187144Z
"  File ""/usr/local/lib/python3.11/site-packages/telegram/_bot.py"", line 909, in get_me",error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947189214Z
    result = await self._post(,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947191313Z
             ^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947193393Z
"  File ""/usr/local/lib/python3.11/site-packages/telegram/_bot.py"", line 623, in _post",error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947195613Z
    return await self._do_post(,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947198053Z
           ^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947200483Z
"  File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_extbot.py"", line 355, in _do_post",error,"{""level"":""error""}","{""project"":""7111ceaf-1c3d-4ee5-b3f2-65bd5a011ca6"",""environment"":""550e1d1c-109e-4994-9292-1255bdb19686"",""service"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deployment"":""492e31ab-0e91-4b31-82e8-0b321a8719e4"",""replica"":""3edfe985-a111-4c26-b262-90b37602ebec""}",2026-07-08T11:18:01.947202613Z
